Dist 78000; N0 -97.4328; PL -143.345 -> no-fading: 1.84299e-15[-117.345; S=10.088; P=0.502933]; fading: 2.20467e-15[-116.567; S=10.8662; P=0.528873]
Dist 79000; N0 -97.4328; PL -143.46 -> no-fading: 1.79457e-15[-117.46; S=9.97236; P=0.499079]; fading: 2.0997e-15[-116.778; S=10.6543; P=0.521811]
Dist 80000; N0 -97.4328; PL -143.575 -> no-fading: 1.748e-15[-117.575; S=9.85818; P=0.495273]; fading: 2.04113e-15[-116.901; S=10.5315; P=0.517716]
Dist 81000; N0 -97.4328; PL -143.687 -> no-fading: 1.7032e-15[-117.687; S=9.74543; P=0.491514]; fading: 1.97939e-15[-117.035; S=10.3981; P=0.513269]
Dist 82000; N0 -97.4328; PL -143.799 -> no-fading: 1.66008e-15[-117.799; S=9.63405; P=0.487802]; fading: 2.00483e-15[-116.979; S=10.4535; P=0.515118]
Dist 83000; N0 -97.4328; PL -143.909 -> no-fading: 1.61855e-15[-117.909; S=9.52403; P=0.484134]; fading: 1.95328e-15[-117.092; S=10.3404; P=0.511347]
Dist 84000; N0 -97.4328; PL -144.017 -> no-fading: 1.57854e-15[-118.017; S=9.41533; P=0.480511]; fading: 1.87545e-15[-117.269; S=10.1638; P=0.505461]
Dist 85000; N0 -97.4328; PL -144.125 -> no-fading: 1.53998e-15[-118.125; S=9.30791; P=0.47693]; fading: 1.79586e-15[-117.457; S=9.97548; P=0.499183]
Dist 86000; N0 -97.4328; PL -144.231 -> no-fading: 1.50279e-15[-118.231; S=9.20175; P=0.473392]; fading: 1.76133e-15[-117.542; S=9.89117; P=0.496372]
Dist 87000; N0 -97.4328; PL -144.336 -> no-fading: 1.46691e-15[-118.336; S=9.09681; P=0.469894]; fading: 1.75184e-15[-117.565; S=9.8677; P=0.49559]
Dist 88000; N0 -97.4328; PL -144.44 -> no-fading: 1.43229e-15[-118.44; S=8.99307; P=0.466436]; fading: 1.70362e-15[-117.686; S=9.74649; P=0.49155]
Dist 89000; N0 -97.4328; PL -144.542 -> no-fading: 1.39886e-15[-118.542; S=8.89051; P=0.463017]; fading: 1.61662e-15[-117.914; S=9.51885; P=0.483962]
Dist 90000; N0 -97.4328; PL -144.644 -> no-fading: 1.36657e-15[-118.644; S=8.78909; P=0.459636]; fading: 1.62128e-15[-117.901; S=9.53134; P=0.484378]
Dist 91000; N0 -97.4328; PL -144.744 -> no-fading: 1.33538e-15[-118.744; S=8.6888; P=0.456293]; fading: 1.57133e-15[-118.037; S=9.39544; P=0.479848]
Dist 92000; N0 -97.4328; PL -144.843 -> no-fading: 1.30522e-15[-118.843; S=8.5896; P=0.452987]; fading: 1.5315e-15[-118.149; S=9.28393; P=0.476131]
Dist 93000; N0 -97.4328; PL -144.941 -> no-fading: 1.27606e-15[-118.941; S=8.49147; P=0.449716]; fading: 1.54726e-15[-118.104; S=9.3284; P=0.477613]
Dist 94000; N0 -97.4328; PL -145.038 -> no-fading: 1.24785e-15[-119.038; S=8.39439; P=0.44648]; fading: 1.48805e-15[-118.274; S=9.15894; P=0.471965]
Dist 95000; N0 -97.4328; PL -145.134 -> no-fading: 1.22056e-15[-119.134; S=8.29834; P=0.443278]; fading: 1.45802e-15[-118.362; S=9.0704; P=0.469013]
Dist 96000; N0 -97.4328; PL -145.229 -> no-fading: 1.19413e-15[-119.229; S=8.20329; P=0.44011]; fading: 1.39178e-15[-118.564; S=8.86847; P=0.462282]
Dist 97000; N0 -97.4328; PL -145.324 -> no-fading: 1.16855e-15[-119.324; S=8.10923; P=0.436974]; fading: 1.3691e-15[-118.636; S=8.79712; P=0.459904]
Dist 98000; N0 -97.4328; PL -145.417 -> no-fading: 1.14377e-15[-119.417; S=8.01614; P=0.433871]; fading: 1.36121e-15[-118.661; S=8.77203; P=0.459068]
Dist 99000; N0 -97.4328; PL -145.509 -> no-fading: 1.11975e-15[-119.509; S=7.92399; P=0.4308]; fading: 1.33968e-15[-118.73; S=8.70276; P=0.456759]
Dist 100000; N0 -97.4328; PL -145.6 -> no-fading: 1.09648e-15[-119.6; S=7.83276; P=0.427759]; fading: 1.311e-15[-118.824; S=8.60878; P=0.453626]
